N_POINTS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,pressure,PRES_ERROR,PRES_QC,salinity,PSAL_ERROR,PSAL_QC,temperature,TEMP_ERROR,TEMP_QC,TIME_QC,latitude,longitude,date,region
0,1,D,D,6902746,1,9.0,2.4,1,36.056,0.01003,1,28.038,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
1,1,D,D,6902746,1,14.0,2.4,1,36.056,0.01003,1,28.034,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
2,1,D,D,6902746,1,24.0,2.4,1,36.058,0.01003,1,28.019,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
3,1,D,D,6902746,1,34.0,2.4,1,36.507,0.01016,1,27.701,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
4,1,D,D,6902746,1,45.0,2.4,1,36.928,0.01026,1,26.867,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
5,1,D,D,6902746,1,55.0,2.4,1,36.947,0.01028,1,26.539,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
6,1,D,D,6902746,1,64.0,2.4,1,37.095,0.01032,1,26.366,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
7,1,D,D,6902746,1,74.0,2.4,1,37.214,0.01035,1,26.165,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
8,1,D,D,6902746,1,84.0,2.4,1,37.24,0.01036,1,25.788,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
9,1,D,D,6902746,1,95.0,2.4,1,37.267,0.01036,1,25.467,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
10,1,D,D,6902746,1,104.0,2.4,1,37.285,0.01037,1,25.183,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
11,1,D,D,6902746,1,114.0,2.4,1,37.294,0.01037,1,24.908,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
12,1,D,D,6902746,1,125.0,2.4,1,37.303,0.01036,1,24.445,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
13,1,D,D,6902746,1,134.0,2.4,1,37.291,0.01036,1,24.089,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
14,1,D,D,6902746,1,145.0,2.4,1,37.224,0.01034,1,23.482,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
15,1,D,D,6902746,1,154.0,2.4,1,37.142,0.01031,1,22.77,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
16,1,D,D,6902746,1,164.0,2.4,1,37.069,0.01029,1,22.193,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
17,1,D,D,6902746,1,174.0,2.4,1,37.02,0.01027,1,21.671,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
18,1,D,D,6902746,1,184.0,2.4,1,37.019,0.01028,1,21.341,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
19,1,D,D,6902746,1,194.0,2.4,1,36.949,0.01024,1,20.831,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
20,1,D,D,6902746,1,204.0,2.4,1,36.855,0.01022,1,20.356,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
21,1,D,D,6902746,1,215.0,2.4,1,36.763,0.01019,1,19.839,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
22,1,D,D,6902746,1,225.0,2.4,1,36.758,0.01019,1,19.585,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
23,1,D,D,6902746,1,234.0,2.4,1,36.726,0.01019,1,19.36,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
24,1,D,D,6902746,1,245.0,2.4,1,36.681,0.01016,1,19.07,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
25,1,D,D,6902746,1,254.0,2.4,1,36.652,0.01015,1,18.814,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
26,1,D,D,6902746,1,264.0,2.4,1,36.61,0.01014,1,18.491,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
27,1,D,D,6902746,1,275.0,2.4,1,36.573,0.01012,1,18.251,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
28,1,D,D,6902746,1,284.0,2.4,1,36.548,0.01011,1,18.08,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
29,1,D,D,6902746,1,294.0,2.4,1,36.519,0.01011,1,17.897,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
30,1,D,D,6902746,1,304.0,2.4,1,36.499,0.01009,1,17.75,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
31,1,D,D,6902746,1,314.0,2.4,1,36.482,0.01009,1,17.646,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
32,1,D,D,6902746,1,324.0,2.4,1,36.455,0.01009,1,17.465,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
33,1,D,D,6902746,1,334.0,2.4,1,36.417,0.01007,1,17.214,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
34,1,D,D,6902746,1,344.0,2.4,1,36.381,0.01006,1,16.993,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
35,1,D,D,6902746,1,362.0,2.4,1,36.307,0.01003,1,16.563,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
36,1,D,D,6902746,1,388.0,2.4,1,36.205,0.01001,1,15.94,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
37,1,D,D,6902746,1,412.0,2.4,1,36.099,0.01,1,15.282,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
38,1,D,D,6902746,1,437.0,2.4,1,36.015,0.01,1,14.774,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
39,1,D,D,6902746,1,462.0,2.4,1,35.909,0.01,1,14.165,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
40,1,D,D,6902746,1,487.0,2.4,1,35.816,0.01,1,13.651,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
41,1,D,D,6902746,1,512.0,2.4,1,35.737,0.01,1,13.187,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
42,1,D,D,6902746,1,537.0,2.4,1,35.683,0.01,1,12.743,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
43,1,D,D,6902746,1,562.0,2.4,1,35.598,0.01,1,12.169,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
44,1,D,D,6902746,1,587.0,2.4,1,35.537,0.01,1,11.764,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
45,1,D,D,6902746,1,612.0,2.4,1,35.472,0.01,1,11.297,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
46,1,D,D,6902746,1,629.0,2.4,1,35.428,0.01,1,11.001,0.002,1,1,20.079,-60.173,2017-07-06 14:49:00,Indian Ocean
47,1,D,A,6902746,1,3.0,2.4,1,35.89,0.01,1,27.965,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
48,1,D,A,6902746,1,4.0,2.4,1,35.89,0.01,1,27.965,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
49,1,D,A,6902746,1,5.0,2.4,1,35.889,0.01,1,27.967,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
50,1,D,A,6902746,1,6.0,2.4,1,35.889,0.01,1,27.968,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
51,1,D,A,6902746,1,7.0,2.4,1,35.89,0.01,1,27.967,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
52,1,D,A,6902746,1,8.0,2.4,1,35.888,0.01,1,27.968,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
53,1,D,A,6902746,1,9.0,2.4,1,35.89,0.01,1,27.966,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
54,1,D,A,6902746,1,10.0,2.4,1,35.888,0.01,1,27.968,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
55,1,D,A,6902746,1,16.0,2.4,1,35.888,0.01,1,27.968,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
56,1,D,A,6902746,1,26.0,2.4,1,35.942,0.01,1,27.993,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
57,1,D,A,6902746,1,35.0,2.4,1,36.425,0.01012,1,27.772,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
58,1,D,A,6902746,1,46.0,2.4,1,37.009,0.0103,1,26.939,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
59,1,D,A,6902746,1,55.0,2.4,1,37.096,0.01032,1,26.357,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
60,1,D,A,6902746,1,65.0,2.4,1,37.189,0.01034,1,26.041,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
61,1,D,A,6902746,1,75.0,2.4,1,37.221,0.01036,1,25.739,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
62,1,D,A,6902746,1,85.0,2.4,1,37.245,0.01036,1,25.46,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
63,1,D,A,6902746,1,96.0,2.4,1,37.252,0.01037,1,25.194,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
64,1,D,A,6902746,1,106.0,2.4,1,37.261,0.01035,1,25.005,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
65,1,D,A,6902746,1,115.0,2.4,1,37.252,0.01035,1,24.555,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
66,1,D,A,6902746,1,125.0,2.4,1,37.265,0.01035,1,24.146,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
67,1,D,A,6902746,1,136.0,2.4,1,37.221,0.01035,1,23.445,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
68,1,D,A,6902746,1,145.0,2.4,1,37.169,0.01031,1,22.885,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
69,1,D,A,6902746,1,155.0,2.4,1,37.135,0.0103,1,22.462,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
70,1,D,A,6902746,1,166.0,2.4,1,37.09,0.01029,1,21.993,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
71,1,D,A,6902746,1,176.0,2.4,1,37.004,0.01027,1,21.37,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
72,1,D,A,6902746,1,185.0,2.4,1,36.939,0.01025,1,20.835,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
73,1,D,A,6902746,1,196.0,2.4,1,36.884,0.01023,1,20.516,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
74,1,D,A,6902746,1,205.0,2.4,1,36.826,0.01021,1,20.168,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
75,1,D,A,6902746,1,215.0,2.4,1,36.767,0.01019,1,19.792,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
76,1,D,A,6902746,1,226.0,2.4,1,36.723,0.01017,1,19.394,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
77,1,D,A,6902746,1,235.0,2.4,1,36.703,0.01016,1,19.157,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
78,1,D,A,6902746,1,246.0,2.4,1,36.659,0.01016,1,18.881,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
79,1,D,A,6902746,1,256.0,2.4,1,36.619,0.01012,1,18.616,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
80,1,D,A,6902746,1,265.0,2.4,1,36.58,0.01013,1,18.354,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
81,1,D,A,6902746,1,275.0,2.4,1,36.552,0.01011,1,18.163,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
82,1,D,A,6902746,1,285.0,2.4,1,36.536,0.01012,1,18.04,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
83,1,D,A,6902746,1,295.0,2.4,1,36.503,0.01011,1,17.813,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
84,1,D,A,6902746,1,305.0,2.4,1,36.486,0.01009,1,17.698,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
85,1,D,A,6902746,1,315.0,2.4,1,36.456,0.01008,1,17.501,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
86,1,D,A,6902746,1,325.0,2.4,1,36.427,0.01007,1,17.311,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
87,1,D,A,6902746,1,335.0,2.4,1,36.382,0.01006,1,17.028,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
88,1,D,A,6902746,1,345.0,2.4,1,36.34,0.01005,1,16.758,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
89,1,D,A,6902746,1,363.0,2.4,1,36.283,0.01001,1,16.417,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
90,1,D,A,6902746,1,388.0,2.4,1,36.224,0.01001,1,16.057,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
91,1,D,A,6902746,1,413.0,2.4,1,36.126,0.01,1,15.459,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
92,1,D,A,6902746,1,438.0,2.4,1,36.043,0.01,1,14.946,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
93,1,D,A,6902746,1,463.0,2.4,1,35.963,0.01,1,14.473,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
94,1,D,A,6902746,1,489.0,2.4,1,35.838,0.01,1,13.765,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
95,1,D,A,6902746,1,513.0,2.4,1,35.755,0.01,1,13.25,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
96,1,D,A,6902746,1,538.0,2.4,1,35.683,0.01,1,12.754,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
97,1,D,A,6902746,1,563.0,2.4,1,35.617,0.01,1,12.32,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
98,1,D,A,6902746,1,588.0,2.4,1,35.551,0.01,1,11.874,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
99,1,D,A,6902746,1,613.0,2.4,1,35.478,0.01,1,11.357,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
100,1,D,A,6902746,1,638.0,2.4,1,35.409,0.01,1,10.893,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
101,1,D,A,6902746,1,663.0,2.4,1,35.336,0.01,1,10.367,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
102,1,D,A,6902746,1,688.0,2.4,1,35.219,0.01,1,9.622,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
103,1,D,A,6902746,1,713.0,2.4,1,35.1,0.01,1,8.925,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
104,1,D,A,6902746,1,738.0,2.4,1,34.972,0.01,1,8.141,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
105,1,D,A,6902746,1,763.0,2.4,1,34.905,0.01,1,7.681,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
106,1,D,A,6902746,1,788.0,2.4,1,34.848,0.01,1,7.281,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
107,1,D,A,6902746,1,813.0,2.4,1,34.839,0.01,1,7.098,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
108,1,D,A,6902746,1,838.0,2.4,1,34.813,0.01,1,6.836,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
109,1,D,A,6902746,1,863.0,2.4,1,34.81,0.01,1,6.683,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
110,1,D,A,6902746,1,888.0,2.4,1,34.809,0.01,1,6.53,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
111,1,D,A,6902746,1,913.0,2.4,1,34.829,0.01,1,6.478,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
112,1,D,A,6902746,1,938.0,2.4,1,34.809,0.01,1,6.188,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
113,1,D,A,6902746,1,963.0,2.4,1,34.808,0.01,1,6.025,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
114,1,D,A,6902746,1,988.0,2.4,1,34.845,0.01,1,6.12,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
115,1,D,A,6902746,1,1013.0,2.4,1,34.872,0.01,1,6.137,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
116,1,D,A,6902746,1,1039.0,2.4,1,34.867,0.01,1,5.933,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
117,1,D,A,6902746,1,1063.0,2.4,1,34.88,0.01,1,5.808,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
118,1,D,A,6902746,1,1088.0,2.4,1,34.912,0.01,1,5.821,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
119,1,D,A,6902746,1,1113.0,2.4,1,34.942,0.01,1,5.786,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
120,1,D,A,6902746,1,1137.0,2.4,1,34.953,0.01,1,5.705,0.002,1,1,20.13,-60.139999999999986,2017-07-08 06:49:00,Indian Ocean
